pow: 1, freq: 1, 1 freq. peaks: [2.5071e+08], peaks prominence: [10.55365334]
pow: 1, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [19.9522226]
pow: 1, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [22.54505298]
pow: 1, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [40.27921608]
pow: 1, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [39.67547987]
pow: 1, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [41.27189663]
pow: 1, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [38.84963692]
pow: 1, freq: 8, 1 freq. peaks: [4.9687e+08], peaks prominence: [9.456217]
pow: 1, freq: 9, 1 freq. peaks: [4.8894e+08], peaks prominence: [10.52825159]
pow: 1, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [18.53330221]
pow: 1, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [19.04628209]
pow: 1, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [38.90395792]
pow: 1, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [35.86389001]
pow: 1, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [42.07210664]
pow: 1, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [37.36070726]
pow: 1, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [36.14149732]
pow: 1, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [38.11890602]
pow: 2, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [40.9566399]
pow: 2, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [42.64577243]
pow: 2, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [40.21695519]
pow: 2, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [40.99963436]
pow: 2, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [44.63436601]
pow: 2, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [43.86880447]
pow: 2, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [42.79385888]
pow: 2, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [37.369671]
pow: 2, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [37.78066223]
pow: 2, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [35.47381623]
pow: 2, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [77.59534235]
pow: 2, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [43.49825877]
pow: 2, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [44.02772461]
pow: 2, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [39.27919363]
pow: 2, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [42.41543552]
pow: 2, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [41.421112]
pow: 2, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [40.21977255]
pow: 3, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [40.60411751]
pow: 3, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [42.13427402]
pow: 3, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [81.56409585]
pow: 3, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [88.07705382]
pow: 3, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [80.49354082]
pow: 3, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [81.20601426]
pow: 3, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [72.99980926]
pow: 3, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [39.69090052]
pow: 3, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [43.73406368]
pow: 3, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [36.34207788]
pow: 3, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [77.18464532]
pow: 3, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [41.18738558]
pow: 3, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [39.77891834]
pow: 3, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [41.88496203]
pow: 3, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [70.14103102]
pow: 3, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [68.26281986]
