pow: 1, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [1.90567791]
pow: 1, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [1.74129283]
pow: 1, freq: 3, 3 freq. peaks: [4.00e+04 6.00e+04 1.25e+08], peaks prominence: [1.23899608 1.57028325 1.63374519]
pow: 1, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [1.82921999]
pow: 1, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [1.6803085]
pow: 1, freq: 6, 2 freq. peaks: [3.00e+04 1.25e+08], peaks prominence: [1.28465237 1.63657802]
pow: 1, freq: 7, 2 freq. peaks: [5.00e+04 1.25e+08], peaks prominence: [1.32997145 1.61457818]
pow: 1, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [1.89632673]
pow: 1, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [1.94237848]
pow: 1, freq: 10, 1 freq. peaks: [1.25e+08], peaks prominence: [1.69030232]
pow: 1, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [1.64202363]
pow: 1, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [1.60334535]
pow: 1, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [1.56958272]
pow: 1, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [1.74417555]
pow: 1, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [1.68868679]
pow: 1, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [1.71263254]
pow: 1, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [1.68040703]
pow: 2, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [1.64199718]
pow: 2, freq: 2, 2 freq. peaks: [2.00e+04 1.25e+08], peaks prominence: [2.10636332 1.81582796]
pow: 2, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [1.95180254]
pow: 2, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [1.68211259]
pow: 2, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [2.03663082]
pow: 2, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [1.82168467]
pow: 2, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [1.84910952]
pow: 2, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [1.96527975]
pow: 2, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [1.82247997]
pow: 2, freq: 10, 2 freq. peaks: [3.00e+04 1.25e+08], peaks prominence: [1.25727949 1.53107975]
pow: 2, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [1.58634851]
pow: 2, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [1.69080821]
pow: 2, freq: 13, 1 freq. peaks: [1.25e+08], peaks prominence: [1.60838526]
pow: 2, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [1.4715929]
pow: 2, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [1.70128251]
pow: 2, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [1.6909787]
pow: 2, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [1.72397806]
pow: 3, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [1.99103329]
