pow: 1, freq: 1, 1 freq. peaks: [20000.], peaks prominence: [1.79062975]
pow: 1, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [1.52899134]
pow: 1, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [1.40276037]
pow: 1, freq: 4, 1 freq. peaks: [20000.], peaks prominence: [1.21348275]
pow: 1, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [1.50366046]
pow: 1, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [1.56233535]
pow: 1, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [1.43499737]
pow: 1, freq: 8, 1 freq. peaks: [1.25e+08], peaks prominence: [1.48755483]
pow: 1, freq: 9, 1 freq. peaks: [1.25e+08], peaks prominence: [1.47585757]
pow: 1, freq: 10, 1 freq. peaks: [30000.], peaks prominence: [1.29928211]
pow: 1, freq: 11, 1 freq. peaks: [1.25e+08], peaks prominence: [1.32171021]
pow: 1, freq: 12, 1 freq. peaks: [1.25e+08], peaks prominence: [1.3229964]
pow: 1, freq: 13, 1 freq. peaks: [30000.], peaks prominence: [1.4111739]
pow: 1, freq: 14, 1 freq. peaks: [30000.], peaks prominence: [1.35236578]
pow: 1, freq: 15, 1 freq. peaks: [30000.], peaks prominence: [1.64293002]
pow: 1, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [1.53106406]
pow: 1, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [1.57511516]
pow: 1, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [1.60494416]
pow: 1, freq: 19, 1 freq. peaks: [30000.], peaks prominence: [1.43504944]
pow: 1, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [1.63364703]
pow: 1, freq: 21, 1 freq. peaks: [20000.], peaks prominence: [1.1637725]
pow: 2, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [1.51382986]
pow: 2, freq: 2, 1 freq. peaks: [20000.], peaks prominence: [1.05353471]
pow: 2, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [1.56761002]
